"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Map4k45",2.87609097011477e-09,0.307491961945495,0.569,0.299,5.39324578715922e-05,"35","Map4k4"
"Rps15a9",3.02685102284482e-09,0.257958590251238,1,0.938,5.6759510380386e-05,"35","Rps15a"
"Wnk13",3.15103726626304e-09,0.332748007285366,0.546,0.302,5.90882508169645e-05,"35","Wnk1"
"Rps269",1.02623811092901e-08,0.280914572616474,0.969,0.838,0.000192440170561408,"35","Rps26"
"Eif3k7",2.05137263208126e-08,0.281068110970768,0.915,0.751,0.000384673395967879,"35","Eif3k"
"Atp5g27",4.25250110326291e-08,0.321406231282448,0.862,0.648,0.000797429006883861,"35","Atp5g2"
"Rps27rt",4.4009558609995e-08,0.253114083427922,0.454,0.23,0.000825267243054626,"35","Rps27rt"
"R3hdm43",4.49379160529321e-08,0.331576125970162,0.515,0.294,0.000842675801824582,"35","R3hdm4"
"Myl12b4",5.01077073645686e-08,0.272919076470119,0.615,0.374,0.00093961972850039,"35","Myl12b"
"Cdc42se21",5.62405524704803e-08,0.285821808046189,0.285,0.124,0.00105462283992645,"35","Cdc42se2"
"Arpp192",1.26924929407825e-07,0.326043916369952,0.638,0.427,0.00238009627625554,"35","Arpp19"
"Rpl355",1.81520964146646e-07,0.35835650922313,0.938,0.753,0.00340388111967791,"35","Rpl35"
"Rpl228",2.54591421693058e-07,0.264538963133874,0.938,0.776,0.00477409833958822,"35","Rpl22"
"Fbl7",2.74462519278827e-07,0.311812323240789,0.715,0.501,0.00514672116151657,"35","Fbl"
"Mob1a1",2.93301772920055e-07,0.257634376530727,0.308,0.147,0.00549999484579688,"35","Mob1a"
"Atp5c16",3.44485048678666e-07,0.26331525299672,0.831,0.681,0.00645978363282235,"35","Atp5c1"
"Ndufb86",3.47884281149794e-07,0.250505422768261,0.808,0.616,0.00652352604012094,"35","Ndufb8"
"H2afx1",4.89378495283676e-07,0.324107240587027,0.254,0.112,0.0091768255435595,"35","H2afx"
"Snrpg4",7.44542606068339e-07,0.28217962896264,0.777,0.518,0.0139616629489935,"35","Snrpg"
"Ppp1ca5",8.36866966995914e-07,0.255365319832637,0.823,0.636,0.0156929293651074,"35","Ppp1ca"
"Sf3b52",8.4203166029698e-07,0.252648639348807,0.608,0.386,0.015789777693889,"35","Sf3b5"
"2410006H16Rik4",1.20217906105503e-06,0.363856271803777,0.592,0.387,0.0225432617529039,"35","2410006H16Rik"
"Snrpd22",1.67039770477387e-06,0.259507376905362,0.715,0.481,0.0313232977599196,"35","Snrpd2"
"Sec61g4",2.88668957977189e-06,0.288790237318596,0.762,0.547,0.0541312029998825,"35","Sec61g"
"Hmgb25",6.54003165332747e-06,0.464955792343723,0.515,0.309,0.122638673563197,"35","Hmgb2"
"Rpl3113",1.75181069312902e-05,0.261101563563247,0.985,0.86,0.328499541175554,"35","Rpl31"
"Hmgn23",1.85461451339443e-05,0.291142180335633,0.362,0.208,0.347777313551723,"35","Hmgn2"
"Gm26917",5.9130572191207e-05,0.254802742330201,0.423,0.251,1,"35","Gm26917"
"Ube2c",0,1.64475904008589,0.571,0.016,0,"36","Ube2c"
"Birc51",0,1.40854232206301,0.638,0.025,0,"36","Birc5"
"Cdk11",0,1.35282485663975,0.619,0.023,0,"36","Cdk1"
"Cdca81",0,1.26009716226465,0.648,0.024,0,"36","Cdca8"
"Ccnb1",0,1.07507504935212,0.476,0.012,0,"36","Ccnb1"
"Cdca3",1.40292610216133e-273,1.07681745756832,0.514,0.018,2.63076702677292e-269,"36","Cdca3"
"Shcbp1",1.61150444981334e-258,0.759091306328646,0.371,0.009,3.02189314428998e-254,"36","Shcbp1"
"Pbk1",2.65735689759614e-247,1.01524317100657,0.438,0.014,4.98307565437228e-243,"36","Pbk"
"Hmmr",1.42551241916337e-225,0.614085911056574,0.267,0.005,2.67312088841516e-221,"36","Hmmr"
"Pclaf1",2.48094377894845e-222,1.31431612511319,0.648,0.036,4.65226577428413e-218,"36","Pclaf"
"Ccnb2",4.48920707944346e-215,0.93229397693358,0.438,0.016,8.41816111537237e-211,"36","Ccnb2"
"Aurkb",1.89329764717823e-213,0.738207208485169,0.314,0.008,3.55031174798862e-209,"36","Aurkb"
"Spc241",2.5581416536842e-193,1.11766619851087,0.533,0.028,4.79702722898861e-189,"36","Spc24"
"Tk11",1.83716882904406e-178,1.01302535636275,0.495,0.026,3.44505898822342e-174,"36","Tk1"
"Ccna2",4.17995588223745e-176,0.791795381979442,0.314,0.01,7.83825327037167e-172,"36","Ccna2"
"Cdc20",3.38486392151083e-173,1.42221032232602,0.61,0.042,6.34729682561711e-169,"36","Cdc20"
"Cdkn3",6.89590458131422e-162,0.686975023638038,0.314,0.011,1.29312002708804e-157,"36","Cdkn3"
"Nusap1",1.3665613412176e-155,0.729608151612161,0.333,0.013,2.56257582705125e-151,"36","Nusap1"
"Racgap1",1.3264074743763e-129,0.783361471707657,0.343,0.017,2.48727929595044e-125,"36","Racgap1"
"Incenp",7.53888976199963e-125,0.701269328149423,0.362,0.02,1.41369260817017e-120,"36","Incenp"
